idx	category
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	non-condition
2	condition
3	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	condition
2	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	condition
2	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
2	condition
3	non-condition
1	condition
2	non-condition
1	condition
2	non-condition
1	condition
2	non-condition
1	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	non-condition
1	non-condition
1	condition
2	non-condition
1	condition
